id                   temp
M3G20081118T222604   160.71
M3G20081118T223204   160.71
M3G20081119T021501   160.71
M3G20081119T021733   160.71
M3G20081122T224503   161.58
M3G20081122T232908   161.34
M3G20081124T020103   162.55
M3G20081124T023353   162.55
M3G20081128T042755   165.04
M3G20081128T053620   164.79
M3G20081128T153721   164.79
M3G20081129T041146   165.90
M3G20081129T052459   165.64
M3G20081129T155939   166.58
M3G20081129T171431   166.24
M3G20081129T171509   166.24
M3G20081130T034731   167.46
M3G20081130T050351   166.93
M3G20081130T155314   166.67
M3G20081130T165323   166.15
M3G20081201T054112   167.46
M3G20081201T064047   166.93
M3G20081201T173012   168.80
M3G20081201T183001   168.44
M3G20081202T051914   170.34
M3G20081202T061935   169.52
M3G20081202T230314   170.16
M3G20081203T105313   171.46
M3G20081203T115326   170.53
M3G20081203T224313   172.79
M3G20081203T234306   171.56
M3G20081204T123013   174.34
M3G20081204T133046   173.08
M3G20081204T222212   175.34
M3G20081204T232205   173.95
M3G20081205T120912   174.64
M3G20081205T131000   173.47
M3G20081206T015712   176.55
M3G20081206T025802   175.14
M3G20081206T154511   170.16
M3G20081206T164550   169.25
M3G20081207T013812   171.00
M3G20081207T023705   170.16
M3G20081207T132612   172.60
M3G20081207T142651   171.65
M3G20081208T011612   174.34
M3G20081208T021621   173.08
M3G20081208T150414   170.44
M3G20081208T160407   169.61
M3G20081209T005512   171.18
M3G20081209T015536   170.34
M3G20081209T124512   172.50
M3G20081210T003512   174.15
M3G20081210T013506   173.08
M3G20081210T122414   175.34
M3G20081210T132437   174.64
M3G20081211T021212   177.99
M3G20081211T031236   176.65
M3G20081211T120312   175.64
M3G20081211T130351   173.95
M3G20081212T015112   175.64
M3G20081212T025136   174.44
M3G20081213T013012   180.43
M3G20081213T023036   178.83
M3G20081213T131912   177.37
M3G20081213T142021   176.04
M3G20081214T010912   179.14
M3G20081214T020951   177.78
M3G20081214T125812   181.85
M3G20081214T135921   180.43
M3G20081215T084112   182.51
M3G20081215T094152   180.53
M3G20081215T222812   181.74
M3G20081215T232936   180.43
M3G20081216T082012   183.30
M3G20081216T092051   181.41
M3G20081217T000611   171.27
M3G20081217T010720   170.44
M3G20081217T115612   173.18
M3G20081217T125706   172.60
M3G20081218T014413   175.94
M3G20081218T024506   175.24
M3G20081218T112512   174.15
M3G20081218T123636   172.60
M3G20081219T012312   170.07
M3G20081219T022437   169.43
M3G20081220T030113   169.61
M3G20081220T033237   169.16
M3G20081220T105513   169.52
M3G20081220T112542   169.07
M3G20081220T184812   169.43
M3G20081220T191906   169.07
M3G20081221T043913   169.25
M3G20081221T051036   168.80
M3G20081221T103412   169.16
M3G20081221T110522   168.71
M3G20081221T202513   169.07
M3G20081221T205721   168.62
M3G20081222T041812   168.98
M3G20081222T044951   168.62
M3G20081222T101313   168.89
M3G20081222T104437   168.53
M3G20081222T220311   168.71
M3G20081222T223435   168.26
M3G20081223T055812   168.62
M3G20081223T062736   168.17
M3G20081223T115111   168.53
M3G20081223T122235   168.08
M3G20081223T214212   168.35
M3G20081223T221351   167.99
M3G20081224T132911   168.17
M3G20081224T140005   167.64
M3G20081224T232011   167.99
M3G20081224T235121   167.55
M3G20081225T071311   167.90
M3G20081225T074420   167.46
M3G20081225T130812   167.81
M3G20081225T133906   167.37
M3G20081225T225911   167.64
M3G20081225T233020   167.20
M3G20081226T065211   167.73
M3G20081226T072335   167.11
M3G20081226T073624   166.93
M3G20081226T144510   167.46
M3G20081226T151634   167.02
M3G20081227T003711   167.29
M3G20081227T010750   166.85
M3G20081227T083011   167.37
M3G20081227T090105   166.85
M3G20081227T142511   167.20
M3G20081227T145550   166.76
M3G20081228T001511   167.11
M3G20081228T004635   166.67
M3G20081228T080811   166.93
M3G20081228T083935   166.50
M3G20081228T160110   166.93
M3G20081228T163233   166.33
M3G20081229T015311   166.58
M3G20081229T022350   166.15
M3G20081229T094611   166.41
M3G20081229T101650   165.98
M3G20081229T173911   166.24
M3G20081229T180950   165.72
M3G20081230T013311   165.98
M3G20081230T020405   165.47
M3G20081230T112409   165.72
M3G20081230T115533   165.21
M3G20081230T171909   165.55
M3G20081230T175018   165.13
M3G20081231T031109   164.87
M3G20081231T034148   164.87
M3G20081231T110209   164.87
M3G20081231T113333   164.87
M3G20081231T190009   164.87
M3G20081231T192648   164.87
M3G20090101T025309   164.70
M3G20090101T032003   164.28
M3G20090101T033819   164.04
M3G20090101T123910   164.53
M3G20090101T131120   164.12
M3G20090101T183411   164.37
M3G20090101T190519   163.95
M3G20090103T080012   164.04
M3G20090103T084105   163.29
M3G20090103T135913   163.54
M3G20090103T143945   162.88
M3G20090103T215111   163.37
M3G20090103T223205   162.72
M3G20090104T054311   163.04
M3G20090104T062425   162.39
M3G20090104T093911   162.88
M3G20090104T102025   162.23
M3G20090104T153411   162.72
M3G20090104T161446   162.15
M3G20090104T212811   162.63
M3G20090104T220845   162.07
M3G20090105T052011   162.47
